,Zip Code,District Name,Zip +4,pop,School Name,ENROLL_CNT,GRAD_CNT,GRAD_PCT,MEMBERSHIP_DESC
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,33,0,0%,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,11,0,0%,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,22,0,0%,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,16,0,0%,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,7,0,0%,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,-,-,-,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,-,-,-,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,-,-,-,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,-,-,-,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,23,0,0%,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,10,0,0%,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,25,0,0%,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,8,0,0%,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,-,-,-,2010 Total Cohort - 6 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,26,0,0%,2011 Total Cohort - 5 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,12,0,0%,2011 Total Cohort - 5 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,14,0,0%,2011 Total Cohort - 5 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,15,0,0%,2011 Total Cohort - 5 Year Outcome
1,14202,BUFFALO CITY SCHOOL DISTRICT,3375.0,3419.0,PS 42 OCCUPATIONAL TRAINING CTR,-,-,-,2011 Total Cohort - 5 Year Outcome
